Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
4;18;33195;19539;19938;14118;3947876;6300000;8236927;737;64.13;20380;23.22;0.036;18.92;116.03;0.72;14.73;344.50;21.81;329.77;21.81;10.27;
4;18.5;15865;16334;14120;18167;4421537;;10464582;1881;;;;;;;;;;;;;;
4;19;18832;18892;14165;18632;5310597;14200000;14307755;1932;115.21;;27.98;0.034;15.45;86.01;9.31;24.59;448.40;15.73;423.81;15.73;9.33;
4;19.5;9374;15642;9699;22514;4816740;8360000;5831927;2612;;;;0.036;;84.90;4.15;32.51;379.36;13.17;346.85;13.17;9.48;
4;20;12806;17532;9702;20105;6631487;10100000;10976062;1939;89.64;169200;17.41;0.038;9.19;65.41;4.01;3.07;476.98;22.54;473.92;22.54;9.21;
4;20.5;12256;15409;5461;23714;6324111;;7807844;2366;;;;;;;;;;;;;;
4;21;7330;14128;6527;24119;6809374;5960000;7848230;4926;98.15;;9.92;0.059;7.41;26.40;1.46;40.51;296.90;18.24;256.38;18.24;9.72;
4;21.25;3816;7887;5917;24902;;;;0;;;;;;;;;;;;;;
4;21.5;3476;7427;5570;27234;8147673;;6511659;9548;;;;;;;;;;;;;;
4;22;4563;9580;5854;26753;7118713;5480000;5742211;6666;80.05;;10.19;0.052;7.37;6.86;0.13;102.55;314.09;5.74;211.54;5.74;8.48;
4;22.5;4875;8733;3482;34625;5892512;2290000;5453622;3525;;;;0.044;7.06;7.21;0.63;39.20;351.59;1.48;312.39;1.48;7.96;
4;23;5828;10525;3723;38018;4630225;7640000;4020985;3312;48.1;175250;5.28;0.081;5.76;8.39;0.15;62.12;314.39;2.84;252.27;2.84;7.76;
4;23.5;2949;8798;3520;43643;2317544;826000;1488107;2418;;;;0.077;5.68;8.20;0.40;76.15;494.30;102.28;418.15;102.28;8.64;
4;24;1444;8325;3379;45585;1700295;;1750304;7658;;;;;;;;;;;;;;
5;0;154;1279;18682;2405;;53;;0;;;;0.046;1.5;4.40;0.25;11.44;54.38;0.67;42.94;0.67;1.81;
5;1;159;1142;14130;2112;;50;;0;;;;1.192;1.9;4.15;0.01;6.92;56.83;1.45;49.91;1.45;1.81;
5;1.5;47;1391;17049;2413;;;;0;;;;;;;;;;;;;;
5;2;60;2104;21216;3266;;46;;0;;345;;2.383;2.52;7.12;0.20;;66.40;1.96;66.40;1.96;2.16;
5;2.5;64;2071;25430;7408;;;;0;;;;;;;;;;;;;;
